Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,"Орехи (грецкий орех, миндаль, фундук)",6223,600,Бакалея,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",1994-04-02,2017-01-10,3.84:,Shipping
2,Сельдерей,2430,776,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2019-05-09,2026-09-14,4.19:,Awaiting Payment
3,Пакеты для Дня независимости,7604,251,Товары для дома,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2010-03-02,2024-03-02,3.51:,Awaiting Review
4,Мята перечная сушеная,4861,106,Бакалея,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2000-02-05,2009-05-09,1.07:,New
5,Каша из перловки,8611,815,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2012-06-01,2017-01-01,3.98:,Temporarily Unavailable
6,Петрушка корневая,8840,608,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2003-08-08,2021-06-02,2.36:,In Stock
7,Конфи,575,261,Мясо,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2019-02-14,2029-02-26,1.35:,Refunded
8,Темный шоколад,596,511,Бакалея,Помогает сохранять бодрость и активность в течение дня.,2014-02-08,2022-01-01,4.44:,In Stock
9,Пастернак,983,851,Овощи,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2001-06-02,2012-03-01,3.73:,Out of Stock
10,Индюшатина,8340,779,Мясо,"Является источником важных микроэлементов, таких как магний и калий.",2008-02-03,2030-10-04,1.74:,In Stock
11,Кунжут черный,9328,602,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1993-05-05,1995-03-02,4.26:,Cancelled
12,Печень,4275,716,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2000-03-04,2015-09-08,4.1:,Out of Stock
13,Огурец,4201,675,Овощи,Может использоваться в косметических процедурах для увлажнения кожи.,2020-05-03,2024-05-02,0.21:,Temporarily Unavailable
14,Pepsi Max,9648,910,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2006-03-11,2008-01-04,1.37:,Pending
15,Шалфей сушеный,8214,934,Бакалея,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2009-02-09,2014-03-01,4.81:,Backorder
16,Талицкая,2451,460,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1999-08-11,2014-03-01,0.38:,In Stock
17,Пахта,5747,338,Молочные продукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2022-05-08,2024-05-02,2.05:,Refunded
18,Полотенца для рук,8316,290,Товары для дома,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2010-06-12,2029-05-05,1.29:,Delivered
19,Смородина,3288,612,Фрукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2008-01-08,2017-02-09,2.94:,Temporarily Unavailable
20,Пастернак,1087,941,Овощи,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1998-02-05,2006-01-03,1.53:,In Stock
21,Айран,5420,585,Молочные продукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1994-09-08,2001-02-15,3.79:,Pending
22,Масала чай,8097,865,Напитки,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2017-01-05,2025-01-13,3.77:,Out of Stock
23,Косулятина,2643,260,Мясо,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1999-06-04,2012-02-01,2.52:,Awaiting Payment
24,Спаржа,5587,99,Овощи,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2019-01-03,2023-04-02,2.83:,In Stock
25,Кукуруза консервированная,9954,164,Бакалея,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2008-02-03,2017-02-17,2.93:,Awaiting Review
26,Каймак,3905,558,Молочные продукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2018-06-13,2030-01-04,2.9:,New
27,Балык,9016,270,Мясо,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2011-06-07,2022-09-06,4.89:,Shipping
28,Лук-порей,7133,706,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1998-04-03,2027-03-10,4.41:,Shipping
29,Айва,4697,201,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2020-03-05,2028-03-17,0.71:,New
