product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Помело,3745,801,Фрукты,Помогает поддерживать нормальный уровень сахара в крови.,2006-05-02,2016-09-01,0.2,Pending
2,Лук-порей,4190,638,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2016-03-10,2017-01-04,1.74,Cancelled
3,Сахар,3050,608,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2019-07-03,2030-06-17,3.97,Delivered
4,Свекла,1293,771,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2016-05-05,2028-01-03,1.85,In Stock
5,Ливерная колбаса,2736,458,Мясо,Используется в косметологии для ухода за кожей и волосами.,2009-02-21,2028-05-04,4.09,Refunded
6,Половники,9829,81,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2003-06-01,2025-02-05,1.03,Shipping
7,Горох,6196,206,Овощи,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2013-08-02,2029-04-19,3.75,Temporarily Unavailable
8,Белокуриха,5549,212,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1994-05-18,1997-01-04,4.39,Awaiting Payment
9,Карамбола,3655,184,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1993-02-25,1996-02-25,1.28,Pending
10,Брынза,5233,291,Молочные продукты,Помогает нормализовать артериальное давление и уровень холестерина.,2016-04-01,2018-01-14,0.63,Backorder
11,Батат,8187,307,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2007-01-03,2013-01-19,4.36,On Backorder
12,"Специи (перец, куркума, зира)",175,945,Бакалея,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1991-05-05,2011-07-24,2.8,Out of Stock
13,Морс клюквенный,6034,234,Напитки,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2003-01-20,2028-03-05,1.99,On Backorder
14,Помидор,6607,868,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2010-05-10,2014-06-24,2.78,Pending
15,Растительное масло кокосовое,3896,370,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2003-02-06,2010-01-04,0.63,Awaiting Payment
16,Каша из дробленой перловки,548,168,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,2018-01-01,2028-01-16,1.76,Out of Stock
